Time x_Exact v_Exact v_Exact_half x_FD v_FD x_LF v_LF
0 1 0 0.0192758 1 0 1 0.0192766
0.0244141 0.999529 -0.0385471 -0.0192758 1 -0.0385531 0.999529 -0.0192766
0.0488281 0.998118 -0.0770579 -0.0578093 0.999059 -0.0771063 0.998118 -0.0578116
0.0732422 0.995767 -0.115496 -0.0962884 0.997176 -0.115623 0.995767 -0.0962922
0.0976562 0.99248 -0.153826 -0.134677 0.994353 -0.154067 0.992479 -0.134682
0.12207 0.988258 -0.192011 -0.172939 0.990592 -0.192403 0.988257 -0.172945
0.146484 0.983105 -0.230015 -0.211037 0.985895 -0.230593 0.983104 -0.211046
0.170898 0.977028 -0.267802 -0.248938 0.980265 -0.268603 0.977026 -0.248947
0.195312 0.970031 -0.305338 -0.286604 0.973707 -0.306395 0.970029 -0.286615
0.219727 0.962121 -0.342586 -0.324 0.966227 -0.343934 0.962118 -0.324013
0.244141 0.953306 -0.379512 -0.361091 0.95783 -0.381185 0.953302 -0.361105
0.268555 0.943593 -0.41608 -0.397843 0.948524 -0.418113 0.943589 -0.397858
0.292969 0.932993 -0.452257 -0.43422 0.938316 -0.454681 0.932988 -0.434236
0.317383 0.921514 -0.488009 -0.470188 0.927215 -0.490856 0.921508 -0.470206
0.341797 0.909168 -0.523301 -0.505714 0.915232 -0.526604 0.909161 -0.505733
0.366211 0.895966 -0.5581 -0.540764 0.902375 -0.561889 0.895958 -0.540784
0.390625 0.881921 -0.592375 -0.575305 0.888657 -0.596678 0.881912 -0.575326
0.415039 0.867046 -0.626091 -0.609305 0.87409 -0.630939 0.867036 -0.609326
0.439453 0.851355 -0.659219 -0.642731 0.858686 -0.664637 0.851344 -0.642753
0.463867 0.834863 -0.691726 -0.675552 0.842459 -0.697742 0.83485 -0.675575
0.488281 0.817585 -0.723582 -0.707737 0.825425 -0.730222 0.817571 -0.707762
0.512695 0.799537 -0.754757 -0.739256 0.807597 -0.762045 0.799522 -0.739281
0.537109 0.780737 -0.785222 -0.77008 0.788992 -0.79318 0.780721 -0.770106
0.561523 0.761202 -0.814947 -0.800179 0.769628 -0.823598 0.761184 -0.800205
0.585938 0.740951 -0.843906 -0.829524 0.74952 -0.85327 0.740932 -0.829551
0.610352 0.720003 -0.87207 -0.858089 0.728689 -0.882166 0.719982 -0.858116
0.634766 0.698376 -0.899414 -0.885846 0.707151 -0.910259 0.698354 -0.885874
0.65918 0.676093 -0.925911 -0.91277 0.684928 -0.937522 0.676069 -0.912797
0.683594 0.653173 -0.951537 -0.938834 0.662039 -0.963928 0.653147 -0.938862
