Time x_Exact y_Exact x_FD y_FD x_TI y_TI x_TE y_TE x_B y_B
0 5.68563e-05 0 5.68563e-05 0 5.68563e-05 0 5.68563e-05 0 5.68563e-05 0
2.79093e-11 5.67878e-05 2.78981e-06 5.67193e-05 2.79093e-06 5.67878e-05 2.79093e-06 5.67878e-05 2.79429e-06 5.67878e-05 2.79093e-06
5.58185e-11 5.65825e-05 5.57289e-06 5.64453e-05 5.57513e-06 5.65825e-05 5.57513e-06 5.65821e-05 5.58522e-06 5.65825e-05 5.57513e-06
8.37278e-11 5.62409e-05 8.34255e-06 5.60346e-05 8.34588e-06 5.62408e-05 8.34591e-06 5.62395e-05 8.36605e-06 5.62408e-05 8.34591e-06
1.11637e-10 5.57638e-05 1.10921e-05 5.5488e-05 1.10965e-05 5.57636e-05 1.10966e-05 5.57603e-05 1.11301e-05 5.57636e-05 1.10966e-05
1.39546e-10 5.51524e-05 1.3815e-05 5.48063e-05 1.38202e-05 5.5152e-05 1.38206e-05 5.51455e-05 1.38705e-05 5.5152e-05 1.38206e-05
1.67456e-10 5.44081e-05 1.65045e-05 5.39909e-05 1.65105e-05 5.44076e-05 1.65112e-05 5.43961e-05 1.65809e-05 5.44076e-05 1.65112e-05
1.95365e-10 5.35327e-05 1.91543e-05 5.30434e-05 1.91608e-05 5.3532e-05 1.91622e-05 5.35137e-05 1.92544e-05 5.3532e-05 1.91622e-05
2.23274e-10 5.25284e-05 2.1758e-05 5.19659e-05 2.17646e-05 5.25275e-05 2.17669e-05 5.25e-05 2.18846e-05 5.25275e-05 2.17669e-05
2.51183e-10 5.13975e-05 2.43092e-05 5.07605e-05 2.43154e-05 5.13964e-05 2.43193e-05 5.13573e-05 2.4465e-05 5.13964e-05 2.43193e-05
2.79093e-10 5.01428e-05 2.68019e-05 4.94299e-05 2.68071e-05 5.01414e-05 2.68131e-05 5.00879e-05 2.69894e-05 5.01414e-05 2.68131e-05
3.07002e-10 4.87673e-05 2.923e-05 4.7977e-05 2.92335e-05 4.87656e-05 2.92423e-05 4.86945e-05 2.94514e-05 4.87656e-05 2.92423e-05
3.34911e-10 4.72743e-05 3.15877e-05 4.6405e-05 3.15886e-05 4.72723e-05 3.16011e-05 4.71803e-05 3.18451e-05 4.72723e-05 3.16011e-05
3.62821e-10 4.56674e-05 3.38693e-05 4.47174e-05 3.38665e-05 4.5665e-05 3.38838e-05 4.55486e-05 3.41644e-05 4.5665e-05 3.38838e-05
3.9073e-10 4.39505e-05 3.60693e-05 4.2918e-05 3.60615e-05 4.39477e-05 3.60849e-05 4.38031e-05 3.64036e-05 4.39477e-05 3.60849e-05
4.18639e-10 4.21277e-05 3.81824e-05 4.10108e-05 3.81683e-05 4.21245e-05 3.81991e-05 4.19476e-05 3.85572e-05 4.21245e-05 3.81991e-05
4.46548e-10 4.02035e-05 4.02035e-05 3.90003e-05 4.01814e-05 4.01998e-05 4.02214e-05 3.99865e-05 4.06196e-05 4.01998e-05 4.02214e-05
4.74458e-10 3.81824e-05 4.21277e-05 3.68909e-05 4.20958e-05 3.81782e-05 4.21467e-05 3.7924e-05 4.25858e-05 3.81782e-05 4.21467e-05
5.02367e-10 3.60693e-05 4.39505e-05 3.46875e-05 4.39067e-05 3.60645e-05 4.39706e-05 3.57651e-05 4.44508e-05 3.60645e-05 4.39706e-05
