Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
0.000000E+00	1.000000E-19	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.768420E-21
1.000000E-07	9.999940E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.767850E-21
2.000000E-07	9.999890E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.767270E-21
3.000000E-07	9.999830E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.766690E-21
4.000000E-07	9.999780E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.766120E-21
5.000000E-07	9.999720E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.766090E-21
6.000000E-07	9.999670E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.765510E-21
7.000000E-07	9.999610E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.764940E-21
8.000000E-07	9.999560E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.764360E-21
9.000000E-07	9.999500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.763790E-21
1.000000E-06	9.999450E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.763210E-21
1.100000E-06	9.999400E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.762630E-21
1.200000E-06	9.999340E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.762060E-21
1.300000E-06	9.999290E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.761480E-21
1.400000E-06	9.999230E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.760910E-21
1.500000E-06	9.999180E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.760880E-21
1.600000E-06	9.999120E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.760310E-21
1.700000E-06	9.999070E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.759730E-21
1.800000E-06	9.999010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.759160E-21
1.900000E-06	9.998960E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.758580E-21
2.000000E-06	9.998900E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.758010E-21
2.100000E-06	9.998840E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.757430E-21
2.200000E-06	9.998790E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.756860E-21
2.300000E-06	9.998730E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.756280E-21
2.400000E-06	9.998680E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.756260E-21
